Age,Gender,MaritalStatus,GSS_Office_Branch,GSS_Job_Role,Monthly_Base_Salary_PHP,Hourly_Base_Rate_PHP,PSA_Core_Inflation_Percent,NCR_Statutory_Wage_Floor_PHP,OverTime,JobInvolvement,StandardHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
36,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,3,80,1,2,3,3,9,3,2,0,false
36,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,1,2,2,10,3,2,0,false
29,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,4,80,3,4,4,4,10,3,2,0,false
41,Male,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,4,80,2,2,1,1,11,3,2,1,false
44,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,4,4,4,9,4,2,1,false
35,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,72000.0,413.79,4.4,780.0,true,2,80,1,3,3,3,10,4,0,2,false
46,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,3,80,1,4,3,3,17,4,2,0,false
50,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,4,4,4,3,20,4,3,1,false
38,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,2,80,1,1,3,2,13,4,3,1,false
37,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,4,1,2,8,4,3,0,false
53,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,4,80,4,2,3,3,11,4,3,1,false
45,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,2,3,3,12,4,2,0,false
24,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,2,2,2,4,4,3,1,false
57,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,4,80,4,3,2,1,12,5,3,1,false
26,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,true,3,80,1,1,3,3,5,5,3,3,false
58,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,1,80,3,4,4,3,12,5,3,1,false
49,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,3,2,3,3,26,5,2,0,false
43,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,3,4,3,8,5,2,0,false
34,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,2,4,3,10,5,1,4,false
44,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,4,4,2,10,5,2,2,false
43,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,4,2,2,12,5,2,2,false
33,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,2,1,3,6,5,0,1,false
35,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,1,3,3,10,5,2,0,false
36,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,4,80,1,4,1,3,13,5,4,0,false
40,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,3,4,3,12,5,3,0,false
29,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,3,80,1,1,1,2,6,5,3,0,false
32,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,3,2,3,9,5,1,1,false
25,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,4,80,1,2,4,3,6,6,3,1,false
42,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,4,4,4,7,6,5,0,false
58,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,75000.0,431.03,4.4,780.0,true,2,80,2,3,4,3,24,6,0,0,false
33,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,true,4,80,2,3,1,3,6,6,5,1,false
34,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,1,3,2,7,6,2,0,false
37,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,3,3,3,9,6,2,1,false
31,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,true,3,80,1,3,4,2,6,6,5,0,false
29,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,3,2,3,6,6,0,1,false
39,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,3,2,3,13,6,4,0,false
29,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,1,4,4,6,6,4,1,false
36,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,3,2,2,17,7,7,7,false
51,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,3,80,2,4,3,3,21,7,7,1,false
49,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,2,80,3,3,4,3,25,7,1,0,false
27,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,2,80,1,4,1,1,9,7,6,0,false
36,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,4,1,3,10,7,7,1,false
45,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,72000.0,413.79,4.4,780.0,true,1,80,1,2,2,3,24,7,7,0,false
29,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,1,80,1,3,3,3,9,7,7,0,false
30,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,4,80,3,3,3,3,10,7,0,1,false
40,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,3,80,1,2,2,3,15,7,4,7,false
29,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,1,80,3,4,4,3,11,7,0,1,false
39,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,2,80,1,4,1,3,9,7,7,1,false
28,Male,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,4,80,1,2,3,3,9,8,3,0,false
35,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,3,4,3,3,10,8,7,0,false
41,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,2,80,3,1,1,3,10,8,7,0,false
34,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,2,80,2,4,2,4,9,8,7,7,false
29,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,2,1,2,11,8,7,1,false
40,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,4,80,2,3,4,3,8,8,7,3,false
55,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,true,3,80,2,3,4,3,17,8,7,6,false
52,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,3,80,2,2,4,3,18,8,6,4,false
29,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,4,3,1,3,9,8,7,7,true
49,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,3,80,2,3,2,3,29,8,7,0,false
34,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,4,2,2,8,8,2,7,false
44,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,4,80,4,3,2,3,9,8,7,6,false
31,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,2,2,3,10,9,0,7,false
38,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,4,80,4,2,3,2,10,9,7,1,false
31,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,4,3,1,10,9,7,8,false
34,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,4,4,4,2,10,9,7,1,false
46,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,4,4,4,13,9,7,3,true
33,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,4,3,3,9,9,7,2,false
33,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,2,1,3,10,9,7,8,false
46,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,72000.0,413.79,4.4,780.0,true,2,80,1,3,3,2,21,10,9,9,false
42,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,3,2,3,10,10,2,2,false
56,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,3,3,2,30,10,7,1,false
35,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,4,4,1,10,10,6,0,false
28,Male,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,2,80,1,2,1,2,10,10,7,1,true
31,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,2,80,1,3,2,3,10,10,9,1,false
44,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,4,1,4,3,10,10,7,0,true
45,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,3,80,2,1,1,3,10,10,8,7,false
46,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,3,4,3,19,10,7,0,false
43,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,1,2,3,10,10,9,0,false
35,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,3,4,4,10,10,2,0,false
30,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,3,1,3,11,11,10,10,false
40,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,4,1,4,3,14,11,10,11,false
35,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,2,80,2,4,4,1,11,11,8,3,false
40,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,4,80,3,2,2,3,15,12,11,11,false
36,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,72000.0,413.79,4.4,780.0,true,3,80,1,4,4,3,15,12,8,5,false
51,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,2,80,1,1,3,2,23,13,12,12,false
33,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,3,3,1,15,13,11,4,false
34,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,2,80,1,4,3,3,14,13,9,4,false
56,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,3,1,2,13,13,12,1,false
34,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,3,4,4,14,14,11,4,false
35,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,3,4,3,15,14,11,2,false
48,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,3,3,2,3,27,15,11,4,false
49,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,2,80,3,3,2,3,30,15,11,2,false
36,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,3,1,2,17,16,8,4,false
35,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,3,3,3,2,16,16,10,10,false
36,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,3,2,3,17,17,14,12,false
47,Male,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,1,2,3,25,17,14,12,false
39,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,4,80,4,3,1,2,19,18,10,3,false
39,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,1,4,3,21,18,7,11,true
39,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,3,4,3,20,19,6,11,false
38,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,3,3,1,2,20,19,9,1,false
45,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,3,2,3,21,20,7,4,false
39,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,4,1,3,20,20,7,11,false
42,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,4,4,3,1,24,20,8,13,false
44,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,4,1,4,3,24,22,6,5,false
40,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,2,80,2,3,4,2,22,22,3,11,false
45,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,3,3,4,2,25,23,15,14,false
50,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,3,2,3,3,32,30,8,12,false
55,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,true,2,80,2,4,4,3,34,33,9,15,false
58,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,4,4,4,2,40,40,10,15,true
19,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,2,80,4,1,3,4,1,1,0,0,true
24,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,1,80,3,4,3,3,1,1,0,0,true
31,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,false,4,80,1,4,3,3,2,1,0,0,true
29,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,2,80,2,4,4,3,1,1,0,0,false
27,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,2,80,2,1,1,3,1,1,0,0,true
59,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,3,2,4,2,7,2,2,2,false
31,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,2,80,1,1,4,3,9,2,2,1,false
44,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,1,2,4,10,2,2,0,false
34,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,3,1,4,3,2,2,2,2,true
44,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,true,3,80,4,3,1,3,8,2,2,2,false
24,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,1,4,3,3,2,2,2,false
29,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,true,2,80,1,1,4,3,4,2,2,2,true
25,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,3,80,2,3,3,3,6,2,0,1,false
37,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Global Mobility Officer (HR Admin I),32000.0,183.91,4.4,780.0,true,3,80,1,3,4,3,7,3,2,0,true
42,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,true,3,80,3,3,3,3,4,3,2,1,false
34,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,72000.0,413.79,4.4,780.0,true,3,80,1,2,3,3,11,3,2,0,true
34,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,3,3,1,4,3,2,0,false
31,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,4,80,2,4,4,3,8,3,2,0,false
41,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,1,80,2,3,2,3,10,3,2,1,false
28,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,3,2,3,3,3,2,2,false
46,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,true,3,80,2,2,4,3,16,4,2,0,false
